	id	ast	blk	dreb	fg3_pct	pts	reb	stl	turnover	game_season	player_id	player_first_name	player_height_feet	player_last_name	player_position	player_team_id	team_id	team_full_name
144	9486179	6	0	2	66.7	9	2	1	4	2021	666400	Nickeil		Alexander-Walker	G	19	19	New Orleans Pelicans
145	9486181	0	0	1	100.0	6	1	0	0	2021	98	Gary	6.0	Clark	F	19	19	New Orleans Pelicans
146	9486183	0	0	0	0.0	0	0	0	0	2021	207	Willy	6.0	Hernangomez	C	19	19	New Orleans Pelicans
147	9486184	0	0	0	0.0	0	0	0	0	2021	3547293	Naji		Marshall	F	19	19	New Orleans Pelicans
148	9486185	0	0	0	0.0	0	0	0	0	2021	18677986	Trey		Murphy III	F	19	19	New Orleans Pelicans
149	9486121	7	0	7	0.0	22	7	3	4	2021	416	Pascal	6.0	Siakam	F	28	28	Toronto Raptors
150	9486122	2	0	2	0.0	6	6	1	1	2021	46	Khem	6.0	Birch	C	28	28	Toronto Raptors
151	9486123	1	0	1	30.8	25	2	1	2	2021	18	OG	6.0	Anunoby	F	28	28	Toronto Raptors
152	9486124	5	0	2	40.0	21	2	2	3	2021	458	Fred	6.0	VanVleet	G	28	28	Toronto Raptors
153	9486128	0	3	7	0.0	13	16	0	2	2021	58	Chris	6.0	Boucher	F	28	28	Toronto Raptors
154	9486125	0	0	4	0.0	6	6	2	0	2021	3547249	Precious		Achiuwa	F	28	28	Toronto Raptors
155	9486243	3	1	3	40.0	14	3	1	3	2021	443	Klay	6.0	Thompson	G	10	10	Golden State Warriors
156	9486244	10	0	9	22.2	27	10	2	3	2021	115	Stephen	6.0	Curry	G	10	10	Golden State Warriors
157	9486251	2	2	1	16.7	12	1	0	1	2021	666848	Jordan		Poole	G	10	10	Golden State Warriors
158	9486245	1	0	4	66.7	7	4	0	0	2021	49	Nemanja	6.0	Bjelica	F	10	10	Golden State Warriors
159	9486247	2	1	3	0.0	0	3	1	0	2021	224	Andre	6.0	Iguodala	G-F	10	10	Golden State Warriors
160	9486252	2	1	6	50.0	9	6	0	1	2021	376	Otto	6.0	Porter Jr.	F	10	10	Golden State Warriors
161	9486164	10	0	1	40.0	18	1	1	2	2021	405	D'Angelo	6.0	Russell	G	18	18	Minnesota Timberwolves
162	9486168	2	0	5	0.0	9	6	0	2	2021	3547259	Jaden		McDaniels	F	18	18	Minnesota Timberwolves
163	9486165	0	0	3	75.0	18	4	0	0	2021	38	Malik	6.0	Beasley	G	18	18	Minnesota Timberwolves
164	9486166	0	0	0	0.0	0	0	0	0	2021	3547295	Nathan		Knight	F-C	18	18	Minnesota Timberwolves
165	9486167	0	0	0	0.0	0	0	0	0	2021	269	Jake	6.0	Layman	F	18	18	Minnesota Timberwolves
166	9486169	0	0	0	0.0	0	0	0	0	2021	666767	Jordan		McLaughlin	G	18	18	Minnesota Timberwolves
167	9486119	1	1	2	50.0	7	5	0	3	2021	3547264	Jalen		Smith	F-C	24	24	Phoenix Suns
168	9486118	2	0	2	50.0	6	2	0	1	2021	414	Landry	6.0	Shamet	G	24	24	Phoenix Suns
169	9486113	0	0	3	0.0	0	5	0	2	2021	48	Bismack	6.0	Biyombo	C	24	24	Phoenix Suns
170	9486114	0	0	0	0.0	0	0	0	0	2021	666679	Cameron		Johnson	F	24	24	Phoenix Suns
171	9486117	0	0	0	0.0	0	0	0	0	2021	369	Elfrid	6.0	Payton	G	24	24	Phoenix Suns
172	9486120	0	0	1	0.0	0	1	1	1	2021	470	Yuta	6.0	Watanabe	G	28	28	Toronto Raptors
173	9486132	0	0	1	0.0	0	2	0	1	2021	338	Svi	6.0	Mykhailiuk	G	28	28	Toronto Raptors
174	9486131	0	0	0	0.0	0	0	0	0	2021	17896020	David		Johnson	G	28	28	Toronto Raptors
175	9486619	4	1	3	20.0	14	5	0	2	2021	3547256	Saddiq		Bey	F	9	9	Detroit Pistons
176	9486620	1	0	7	50.0	7	7	2	1	2021	128	Hamidou	6.0	Diallo	G	9	9	Detroit Pistons
177	9486621	2	4	2	0.0	11	7	0	2	2021	3547267	Isaiah		Stewart	F-C	9	9	Detroit Pistons
178	9486622	5	0	2	0.0	8	3	4	3	2021	3547241	Killian		Hayes	G	9	9	Detroit Pistons
179	9486623	3	0	6	40.0	8	7	1	6	2021	17896075	Cade		Cunningham	G-F	9	9	Detroit Pistons
180	9486625	0	0	0	20.0	16	2	2	3	2021	234	Josh	6.0	Jackson	F	9	9	Detroit Pistons
181	9486627	1	0	2	0.0	7	3	0	1	2021	3547298	Saben		Lee	G	9	9	Detroit Pistons
182	9486187	0	0	4	20.0	5	4	0	1	2021	436	Garrett	6.0	Temple	G-F	19	19	New Orleans Pelicans
183	9486186	0	0	0	0.0	0	0	0	0	2021	408	Tomas	6.0	Satoransky	G-F	19	19	New Orleans Pelicans
184	9486116	3	0	0	0.0	4	0	0	2	2021	368	Cameron		Payne	G	24	24	Phoenix Suns
185	9486250	0	0	4	50.0	13	5	3	0	2021	2189	Gary		Payton II		10	10	Golden State Warriors
186	9486249	1	0	1	0.0	2	1	0	0	2021	17553992	Moses		Moody	G	10	10	Golden State Warriors
187	9486248	1	0	0	100.0	5	0	0	0	2021	272	Damion	6.0	Lee	G	10	10	Golden State Warriors
188	9486246	0	0	0	0.0	0	0	0	0	2021	50661	Chris		Chiozza	G	10	10	Golden State Warriors
189	9486253	0	0	0	0.0	0	0	0	0	2021	666953	Quinndary		Weatherspoon	G	10	10	Golden State Warriors
190	9486255	2	0	1	42.9	17	1	0	1	2021	17896027	Ziaire		Williams	G-F	15	15	Memphis Grizzlies
191	9485814	0	0	0	0.0	0	0	0	0	2021	3547302	Anthony		Gill	F	30	30	Washington Wizards
192	9485817	0	0	0	0.0	0	0	0	0	2021	213	Aaron	6.0	Holiday	G	30	30	Washington Wizards
193	9485818	0	0	0	0.0	0	0	0	0	2021	325	Greg		Monroe	C	30	30	Washington Wizards
194	9486629	0	0	1	0.0	4	2	0	0	2021	3547273	Cassius		Stanley	G	9	9	Detroit Pistons
195	9486624	0	2	0	0.0	6	2	0	0	2021	17896056	Luka		Garza	C	9	9	Detroit Pistons
196	9486626	0	0	0	0.0	0	0	0	0	2021	251	Cory	6.0	Joseph	G	9	9	Detroit Pistons
197	9486630	0	0	2	100.0	6	2	0	0	2021	247	Derrick	6.0	Jones Jr.	F-G	5	5	Chicago Bulls
198	9486631	7	0	10	0.0	20	12	0	3	2021	125	DeMar	6.0	DeRozan	G	5	5	Chicago Bulls
199	9486632	4	0	5	50.0	22	8	2	2	2021	460	Nikola	7.0	Vucevic	C	5	5	Chicago Bulls
