pgame_season	player fullname	ast	blk	pts	reb	stl	turnover
1979	Abdul Jeelani			9.571428571428571			
1979	Adrian Dantley			27.985294117647058			
1979	Al Skinner			1.0			
1979	Alex English			16.897435897435898			
1979	Allan Bristow			11.621951219512194			
1979	Allen Leavell			10.5			
1979	Alonzo Bradley			2.1923076923076925			
1979	Alvan Adams			15.024096385542169			
1979	Alvin Scott			4.459770114942529			
1979	Andre Wakefield			1.875			
1979	Anthony Roberts			7.695652173913044			
1979	Armond Hill			6.142857142857143			
1979	Artis Gilmore			17.833333333333332			
1979	Arvid Kramer			2.0			
1979	Austin Carr			11.828947368421053			
1979	Ben Poquette			8.914634146341463			
1979	Bernard King			9.263157894736842			
1979	Bernard Toone	0.0	0.0	2.037037037037037	0.0	0.0	0.0
1979	Bill Cartwright			21.71951219512195			
1979	Bill Robinzine			11.404761904761905			
1979	Bill Walton			13.857142857142858			
1979	Bill Willoughby			6.858974358974359			
1979	Billy Knight			13.146666666666667			
1979	Billy McKinney			6.717948717948718			
1979	Billy Paultz			8.692307692307692			
1979	Billyray Bates			13.421052631578947			
1979	Bingo Smith			12.282352941176471			
1979	Bo Ellis			3.347826086956522			
1979	Bob Carrington			3.6			
1979	Bob Dandridge			17.4			
1979	Bob Elliott			5.685185185185185			
1979	Bob Gross			8.461538461538462			
1979	Bob Lanier			19.185714285714287			
1979	Bob McAdoo			21.03448275862069			
1979	Bob Wilkerson			13.773333333333333			
1979	Bobby Jones	2.0	1.8333333333333333	12.98989898989899	5.666666666666667	1.1666666666666667	1.5
1979	Brad Davis			1.4			
1979	Brad Holland	0.3333333333333333	0.0	2.608695652173913	0.3333333333333333	1.0	0.3333333333333333
1979	Brian Taylor			13.538461538461538			
1979	Brian Winters			16.103448275862068			
1979	Butch Lee			1.1764705882352942			
1979	Caldwell Jones	1.8333333333333333	2.6666666666666665	7.612244897959184	8.333333333333334	0.16666666666666666	1.5
1979	Calvin Murphy			19.89156626506024			
1979	Calvin Natt			19.765432098765434			
1979	Campy Russell			18.21951219512195			
1979	Carl Kilpatrick			1.5			
1979	Cedric Maxwell			17.01123595505618			
1979	Charlie Criss			8.593023255813954			
1979	Charlie Scott			9.26086956521739			
1979	Chris Ford			10.951219512195122			
1979	Clemon Johnson			6.1375			
1979	Cliff T. Robinson			13.782608695652174			
1979	Clifford Ray			6.125			
1979	Clint Richardson	0.0	0.0	6.345454545454546	0.0	0.0	0.0
1979	Coby Dietrick			6.89873417721519			
1979	Corky Calhoun			1.1428571428571428			
1979	Dan Issel			23.79268292682927			
1979	Dan Roundfield			16.523255813953487			
1979	Darnell Hillman			4.4			
1979	Darryl Dawkins	2.1666666666666665	2.3333333333333335	15.204081632653061	6.0	1.1666666666666667	3.1666666666666665
1979	Dave Corzine			2.9375			
1979	Dave Cowens			13.973333333333333			
1979	Dave Meyers			11.872093023255815			
1979	Dave Robisch			15.304878048780488			
1979	Dave Twardzik			8.246376811594203			
1979	David Greenwood			16.26829268292683			
1979	David Thompson			21.075			
1979	Del Beshore			3.573529411764706			
1979	Dennis Awtrey			3.3076923076923075			
1979	Dennis Johnson			18.71875			
1979	Don Buse			7.797752808988764			
1979	Don Chaney			2.783333333333333			
1979	Don Ford			4.219178082191781			
1979	Don Williams			6.657894736842105			
1979	Doug Collins			13.75			
1979	Dudley Bradley			8.390243902439025			
1979	Dwight Jones			7.362204724409449			
1979	Earl Evans			4.361111111111111			
1979	Earl Monroe			7.411764705882353			
1979	Earl Tatum			2.65625			
1979	Eddie Johnson			18.607142857142858			
1979	Eddie Jordan			13.25609756097561			
1979	Elvin Hayes			22.879518072289155			
1979	Eric Fernsten			3.0166666666666666			
1979	Eric Money			10.311475409836065			
1979	Ernie Grunfeld			5.843373493975903			
1979	Foots Walker			9.368421052631579			
1979	Fred Brown			12.08421052631579			
1979	Freeman Williams			18.597560975609756			
1979	Garfield Heard			5.122222222222222			
1979	Gary Garland			4.311688311688312			
1979	Geoff Huston			3.084507042253521			
1979	George Gervin			33.148148148148145			
1979	George Johnson			8.766666666666667			
1979	George McGinnis			14.684931506849315			
1979	Gerald Henderson			6.0588235294117645			
1979	Glen Gondrezick			6.6440677966101696			
1979	Greg Ballard			15.464285714285714			
1979	Greg Deane			1.4285714285714286			
1979	Greg Kelser			14.26			
1979	Gus Bailey			1.9			
1979	Gus Gerard			5.197368421052632			
1979	Gus Williams			22.38144329896907			
1979	Harry Davis			3.25			
1979	Harvey Catchings			3.0641025641025643			
1979	Henry Bibby	3.1666666666666665	0.0	8.74	1.8333333333333333	0.16666666666666666	1.0
1979	Hollis Copeland			5.77027027027027			
1979	Irv Kiffin			3.1538461538461537			
1979	Jack Givens			5.576470588235294			
1979	Jack Sikma			13.927835051546392			
1979	Jackie Robinson			3.857142857142857			
1979	Jamaal Wilkes	3.1666666666666665	0.16666666666666666	20.081632653061224	7.666666666666667	0.8333333333333334	2.1666666666666665
1979	James Bailey			4.6455696202531644			
1979	James Edwards			15.71951219512195			
1979	James Hardy			5.675675675675675			
1979	James Silas			17.6			
1979	Jan Van Breda Kolff			6.841463414634147			
1979	Jeff Cook			5.698630136986301			
1979	Jeff Judkins			5.0			
1979	Jerome Whitehead			2.5714285714285716			
1979	Jim Brewer			4.363636363636363			
1979	Jim Chones	1.5	0.6666666666666666	10.081632653061224	7.0	0.8333333333333334	2.5
1979	Jim Cleamons			6.407407407407407			
1979	Jim McElroy			8.416666666666666			
1979	Jim Paxson			6.12			
1979	Jim Spanarkel	1.0	0.0	4.444444444444445	0.0	0.0	0.0
1979	Joe Bryant			9.320987654320987			
1979	Joe Meriweather			8.953846153846154			
1979	Joel Kramer			3.6226415094339623			
1979	Joey Hassett			7.0675675675675675			
1979	John Brown			3.388888888888889			
1979	John Coughran			3.090909090909091			
1979	John Drew			19.2			
1979	John Gianelli			3.235294117647059			
1979	John Johnson			11.46875			
1979	John Kuester			1.3181818181818181			
1979	John Lambert			5.52054794520548			
1979	John Long			19.347826086956523			
1979	John Lucas			12.625			
1979	John Mengelt			6.083333333333333			
1979	John Olive			0.0			
1979	John Roche			11.365853658536585			
1979	John Shumate			8.823529411764707			
1979	John Williamson			14.533333333333333			
1979	Johnny Davis			14.463157894736842			
1979	Johnny High			4.9			
1979	Jojo White			10.131578947368421			
1979	Julius Erving	5.0	2.3333333333333335	26.458333333333332	7.0	2.0	2.8333333333333335
1979	Junior Bridgeman			17.13953488372093			
1979	Kareem Abdul-Jabbar	3.2	4.6	25.90721649484536	13.6	0.6	4.2
1979	Kenny Carr			11.7375			
1979	Kent Benson			9.561643835616438			
1979	Kermit Washington			13.301204819277109			
1979	Kevin Grevey			14.223880597014926			
1979	Kevin Kunnert			7.0			
1979	Kevin Porter			7.333333333333333			
1979	Kevin Restani			10.729411764705882			
1979	Kim Hughes			3.1449275362318843			
1979	Larry Bird			21.285714285714285			
1979	Larry Demic			6.951219512195122			
1979	Larry Kenon			19.641975308641975			
1979	Larry Steele			9.125			
1979	Larry Wright			7.435897435897436			
1979	Lawrence Boston			4.3076923076923075			
1979	Len Elmore			4.39344262295082			
1979	Leon Douglas			8.1			
1979	Lionel Hollins	8.833333333333334	0.3333333333333333	11.938461538461539	3.6666666666666665	2.0	2.6666666666666665
1979	Lloyd Walton			3.5064935064935066			
1979	Lonnie Shelton			13.351648351648352			
1979	Lynbert Johnson			3.0			
1979	M.L. Carr			10.945054945054945			
1979	Mack Calvin			6.51063829787234			
1979	Magic Johnson	8.666666666666666	0.3333333333333333	18.06451612903226	11.166666666666666	2.6666666666666665	5.0
1979	Major Jones			5.545454545454546			
1979	Mark Landsberger	0.16666666666666666	0.3333333333333333	7.26595744680851	6.166666666666667	0.5	0.8333333333333334
1979	Mark Olberding			10.551282051282051			
1979	Marlon Redmond			5.916666666666667			
1979	Marques Johnson			21.547619047619047			
1979	Marty Byrnes	0.0	0.0	1.9714285714285715	0.0	0.0	0.0
1979	Marvin Barnes			3.3684210526315788			
1979	Marvin Webster			4.4			
1979	Maurice Cheeks	6.666666666666667	0.16666666666666666	11.402061855670103	3.1666666666666665	2.5	2.0
1979	Maurice Lucas			14.65079365079365			
1979	Michael Cooper	3.3333333333333335	0.6666666666666666	8.938144329896907	4.166666666666667	1.1666666666666667	2.0
1979	Micheal Ray Richardson			15.271604938271604			
1979	Mickey Johnson			19.098765432098766			
1979	Mike Bantom			11.792207792207792			
1979	Mike Bratz			8.911111111111111			
1979	Mike Dunleavy			7.491228070175438			
1979	Mike Evans			6.135802469135802			
1979	Mike Gale			6.6			
1979	Mike Glenn			5.88			
1979	Mike Green			7.714285714285714			
1979	Mike Mitchell			22.195121951219512			
1979	Mike Newlin			20.94871794871795			
1979	Mitch Kupchak			4.769230769230769			
1979	Moses Malone			25.84269662921348			
1979	Nate Archibald			14.146067415730338			
1979	Nick Weatherspoon			6.859649122807017			
1979	Norm Nixon	7.0	0.16666666666666666	17.510204081632654	3.6666666666666665	2.1666666666666665	3.6666666666666665
1979	Ollie Johnson			7.756410256410256			
1979	Ollie Mack			4.68			
1979	Otis Birdsong			22.611764705882354			
1979	Pat Cummings			6.428571428571429			
1979	Paul Dawkins			5.642857142857143			
1979	Paul Griffin			6.352941176470588			
1979	Paul Mokeski			2.4166666666666665			
1979	Paul Silas			3.6288659793814433			
1979	Paul Westphal			21.766666666666666			
1979	Pete Maravich			12.365384615384615			
1979	Phil Chenier			7.761904761904762			
1979	Phil Ford			16.258823529411764			
1979	Phil Hubbard			9.26984126984127			
1979	Phil Jackson			4.0625			
1979	Phil Smith			15.6			
1979	Purvis Short			17.032258064516128			
1979	Quinn Buckner			10.324324324324325			
1979	Ralph Simpson			5.125			
1979	Randy Smith			17.256756756756758			
1979	Ray Williams			21.025			
1979	Raymond Townsend			5.638888888888889			
1979	Reggie King			8.211764705882352			
1979	Reggie Theus			20.28395061728395			
1979	Rich Kelley			8.511363636363637			
1979	Richard Washington			5.987804878048781			
1979	Rick Barry			11.551282051282051			
1979	Rick Robey			10.956043956043956			
1979	Rick Wilson			1.6			
1979	Ricky Sobers			14.158536585365853			
1979	Robert Parish			16.98611111111111			
1979	Robert Reid			13.457831325301205			
1979	Robert Smith			5.0625			
1979	Roger Brown			0.5			
1979	Roger Phegley			11.294871794871796			
1979	Ron Behagen			3.375			
1979	Ron Boone			12.395061728395062			
1979	Ron Brewer			15.87012987012987			
1979	Ron Carter			2.6666666666666665			
1979	Ron Lee			4.786885245901639			
1979	Roylee Hamilton			4.625			
1979	Rudy Tomjanovich			13.594202898550725			
1979	Rudy White			4.0			
1979	Sam Lacey			9.083333333333334			
1979	Sam Pellom			2.3404255319148937			
1979	Sammy Smith			8.633333333333333			
1979	Scott May			12.415094339622641			
1979	Scott Wedman			19.12676056338028			
1979	Sidney Moncrief			8.821428571428571			
1979	Sidney Wicks			7.084507042253521			
1979	Sly Williams			4.666666666666667			
1979	Sonny Parker			14.670731707317072			
1979	Spencer Haywood	0.0	0.0	9.183908045977011	0.0	0.0	0.5
1979	Stan Pietkiewicz			4.56			
1979	Steve Hawes			9.453488372093023			
1979	Steve Malovic			2.051282051282051			
1979	Steve Mix	1.4	0.4	10.824742268041238	1.8	0.2	0.6
1979	Swen Nater			13.358024691358025			
1979	Sylvester Norris			2.3529411764705883			
1979	T.R. Dunn			6.867469879518072			
1979	Terry Crosby			1.5			
1979	Terry Duerod			9.313432835820896			
1979	Terry Furlow			13.881578947368421			
1979	Terry Tyler			12.25609756097561			
1979	Thomas Wilson			1.1333333333333333			
1979	Tim Bassett			2.4			
1979	Toby Knight			19.123456790123456			
1979	Tom Abernethy			5.569230769230769			
1979	Tom Boswell			11.430379746835444			
1979	Tom Burleson			2.878787878787879			
1979	Tom Henderson			5.7534246575342465			
1979	Tom LaGarde			4.473684210526316			
1979	Tom McMillen			8.735849056603774			
1979	Tom Owens			16.240506329113924			
1979	Tony Zeno			1.75			
1979	Tree Rollins			8.885057471264368			
1979	Truck Robinson			16.847058823529412			
1979	Vinnie Johnson			3.1538461538461537			
1979	Wally Walker			4.691358024691358			
1979	Walt Frazier			3.3333333333333335			
1979	Walter Davis			21.433734939759034			
1979	Wayne Cooper			11.025316455696203			
1979	Wes Unseld			9.666666666666666			
1979	Wiley Peck			3.272727272727273			
1979	Willie Smith			4.82258064516129			
1979	Winford Boynes			8.596774193548388			
1979	World Free			30.220588235294116			
1980	Abdul Jeelani			8.378787878787879			
1980	Adrian Dantley			30.65			
1980	Alan Hardy			2.3181818181818183			
1980	Alex English			23.814814814814813			
1980	Allan Bristow			8.802469135802468			
1980	Allen Leavell	3.4	0.6	7.542553191489362	1.4	0.6	1.0
1980	Alvan Adams			14.5			
1980	Alvin Scott			5.393258426966292			
1980	Andre McCarter			2.9047619047619047			
1980	Andrew Toney			13.065934065934066			
1980	Anthony Roberts			4.884615384615385			
1980	Armond Hill			5.0			
1980	Art Collins			7.75			
1980	Artis Gilmore			17.920454545454547			
1980	Austin Carr			4.425531914893617			
1980	Ben Poquette			9.475609756097562			
1980	Bernard King			21.864197530864196			
1980	Bill Cartwright			19.833333333333332			
1980	Bill Hanzlik			5.351351351351352			
1980	Bill Laimbeer			9.962025316455696			
1980	Bill Mayfield			2.4285714285714284			
1980	Bill Robinzine			12.922077922077921			
1980	Bill Willoughby	1.1666666666666667	1.0	6.256756756756757	4.5	1.1666666666666667	1.3333333333333333
1980	Billy Knight			17.535714285714285			
1980	Billy McKinney			9.738095238095237			
1980	Billy Paultz	1.3333333333333333	0.6666666666666666	8.362745098039216	6.0	1.1666666666666667	1.5
1980	Billy Reid			3.2758620689655173			
1980	Billyray Bates			14.3375			
1980	Bob Dandridge			10.0			
1980	Bob Elliott			7.534246575342466			
1980	Bob Gross			7.858823529411764			
1980	Bob Lanier			14.849315068493151			
1980	Bob McAdoo			10.3125			
1980	Bob Wilkerson			9.918604651162791			
1980	Bobby Jones			13.721649484536082			
1980	Brad Davis			10.777777777777779			
1980	Brad Holland			3.0952380952380953			
1980	Brett Vroman			3.090909090909091			
1980	Brian Taylor	12.0		10.125			
1980	Brian Winters			11.43421052631579			
1980	Butch Carter			5.574074074074074			
1980	Caldwell Jones			7.453608247422681			
1980	Calvin Garrett	0.25	0.0	5.445783132530121	1.75	0.5	0.25
1980	Calvin Murphy	0.75	0.0	16.94736842105263	1.0	1.0	2.0
1980	Calvin Natt			13.324675324675324			
1980	Campy Russell			16.555555555555557			
1980	Carl Nicks			6.2727272727272725			
1980	Carlos Terry			7.230769230769231			
1980	Cedric Maxwell	2.8333333333333335	1.0	15.402061855670103	9.5	0.16666666666666666	3.1666666666666665
1980	Cedrick Hordges			8.411764705882353			
1980	Chad Kinch			2.7			
1980	Charles Whitney			7.446808510638298			
1980	Charlie Criss			9.484848484848484			
1980	Chris Ford	2.5	0.0	8.887755102040817	2.6666666666666665	0.6666666666666666	1.3333333333333333
1980	Clarence Kea			7.3125			
1980	Clemon Johnson			7.113924050632911			
1980	Cliff T. Robinson			19.50793650793651			
1980	Clifford Ray			2.453125			
1980	Clint Richardson			6.522222222222222			
1980	Coby Dietrick			4.431818181818182			
1980	Craig Shelton			4.2727272727272725			
1980	Dan Issel			21.8625			
1980	Dan Roundfield			17.58730158730159			
1980	Darrell Allums			2.8095238095238093			
1980	Darrell Griffith			20.62962962962963			
1980	Darryl Dawkins			13.978260869565217			
1980	Darwin Cook			11.160493827160494			
1980	Dave Corzine			10.337078651685394			
1980	Dave Robisch			10.283950617283951			
1980	David Britton			2.0			
1980	David Greenwood			14.613636363636363			
1980	David Thompson			25.545454545454547			
1980	Dennis Awtrey			2.1702127659574466			
1980	Dennis Johnson			18.872093023255815			
1980	Dewayne Scales			5.0			
1980	Dick Miller			1.1428571428571428			
1980	Don Buse			5.11864406779661			
1980	Don Collins			9.585106382978724			
1980	Don Ford			3.492063492063492			
1980	Doug Collins			12.333333333333334			
1980	Dudley Bradley			8.024096385542169			
1980	Dwight Jones			7.931034482758621			
1980	Earl Cureton			3.7868852459016393			
1980	Ed Lawrence			4.0			
1980	Eddie Johnson			19.08			
1980	Eddie Jordan			5.24			
1980	Edgar Jones			8.733333333333333			
1980	Elvin Hayes			17.765432098765434			
1980	Eric Fernsten	0.25	0.0	1.8076923076923077	1.0	0.25	0.0
1980	Ernie Grunfeld			9.10752688172043			
1980	Foots Walker			5.7073170731707314			
1980	Frankie Sanders			3.5806451612903225			
1980	Fred Brown			15.461538461538462			
1980	Freeman Williams			19.329268292682926			
1980	Garfield Heard			4.896103896103896			
1980	Geoff Huston			13.271604938271604			
1980	George Gervin			27.089887640449437			
1980	George Johnson			6.833333333333333			
1980	George McGinnis			12.859154929577464			
1980	Gerald Henderson	1.6666666666666667	0.5	7.309278350515464	1.6666666666666667	0.6666666666666666	0.6666666666666666
1980	Glen Gondrezick			5.780821917808219			
1980	Greg Ballard			15.5			
1980	Greg Kelser			12.32			
1980	Gus Gerard			3.892857142857143			
1980	Harvey Catchings			3.988095238095238			
1980	Henry Bibby			4.589041095890411			
1980	Jack Sikma			18.658536585365855			
1980	Jacky Dorsey			1.8275862068965518			
1980	Jamaal Wilkes			22.392857142857142			
1980	James Bailey			13.963414634146341			
1980	James Donaldson			5.358208955223881			
1980	James Edwards			15.421686746987952			
1980	James Hardy			5.0			
1980	James Silas			17.146341463414632			
1980	James Wilkes			4.061224489795919			
1980	Jamesearl Ray			2.0555555555555554			
1980	Jan Van Breda Kolff			3.8461538461538463			
1980	Jawann Oldham			1.0			
1980	Jeff Cook			8.569767441860465			
1980	Jeff Judkins			3.838709677419355			
1980	Jeff Wilkins			4.745454545454545			
1980	Jeffrey Crompton			1.5			
1980	Jerome Whitehead			4.083333333333333			
1980	Jerry Sichting			1.9787234042553192			
1980	Jim Brewer			2.7125			
1980	Jim Chones			10.658823529411764			
1980	Jim McElroy			3.7962962962962963			
1980	Jim Paxson			16.925			
1980	Jim Spanarkel			14.439024390243903			
1980	Joe Barry,Carroll			18.865853658536587			
1980	Joe Bryant			11.621951219512194			
1980	Joe Meriweather			7.333333333333333			
1980	Joel Kramer			4.113636363636363			
1980	Joey Hassett			8.9			
1980	John Drew			21.70149253731343			
1980	John Duren			1.75			
1980	John Johnson			11.4875			
1980	John Lambert			3.338709677419355			
1980	John Long			17.661016949152543			
1980	John Lucas			8.538461538461538			
1980	John Mengelt			0.0			
1980	John Roche			9.071428571428571			
1980	John Shumate			6.958333333333333			
1980	John Stroud			3.9			
1980	John Williamson			4.666666666666667			
1980	Johnny Davis			14.538461538461538			
1980	Johnny High			8.113636363636363			
1980	Johnny Moore			7.258426966292135			
1980	Jojo White			6.384615384615385			
1980	Julius Erving			24.29591836734694			
1980	Junior Bridgeman			16.523809523809526			
1980	Kareem Abdul-Jabbar			26.240963855421686			
1980	Keith Herron			13.675			
1980	Keith McCord			2.0			
1980	Kelvin Ransey			15.25301204819277			
1980	Kenny Carr			15.405063291139241			
1980	Kenny Higgs			7.805555555555555			
1980	Kenny Natt			3.1052631578947367			
1980	Kent Benson			15.661016949152541			
1980	Kermit Washington			11.289473684210526			
1980	Kevin Grevey			17.16216216216216			
1980	Kevin Kunnert			4.396551724137931			
1980	Kevin McHale	0.8333333333333334	0.6666666666666666	9.724489795918368	3.3333333333333335	0.0	1.0
1980	Kevin Porter	13.5		13.35			
1980	Kevin Restani			6.731343283582089			
1980	Kiki Vandeweghe			11.384615384615385			
1980	Kim Hughes			1.0576923076923077			
1980	Kyle Macy			8.0			
1980	Larry Bird	8.909090909090908	0.5	21.387755102040817	15.333333333333334	2.3333333333333335	3.1666666666666665
1980	Larry Demic			4.141025641025641			
1980	Larry Drew			6.657894736842105			
1980	Larry Kenon			13.590361445783133			
1980	Larry Smith			9.573170731707316			
1980	Larry Wright			7.444444444444445			
1980	Lee Johnson			1.4166666666666667			
1980	Len Elmore			2.710526315789474			
1980	Leon Douglas			5.494623655913978			
1980	Lewis Brown			1.0			
1980	Lionel Hollins			9.63265306122449			
1980	Lloyd Walton			3.1449275362318843			
1980	Lonnie Shelton			13.0			
1980	Lorenzo Romar			4.132075471698113			
1980	Louis Orr			10.511904761904763			
1980	Lowes Moore			7.0			
1980	M.L. Carr	1.0	0.6666666666666666	5.701754385964913	1.6666666666666667	0.6666666666666666	0.5
1980	Mack Calvin			2.4761904761904763			
1980	Magic Johnson	8.0		21.225			4.0
1980	Major Jones	0.3333333333333333	0.3333333333333333	4.0	1.6666666666666667	0.3333333333333333	0.0
1980	Mark Landsberger			5.486111111111111			
1980	Mark Olberding			12.92134831460674			
1980	Marques Johnson			20.650602409638555			
1980	Marty Byrnes			7.915492957746479			
1980	Marvin Webster			5.178571428571429			
1980	Maurice Cheeks			9.597938144329897			
1980	Maurice Lucas			14.691176470588236			
1980	Mel Bennett			3.888888888888889			
1980	Michael Brooks			14.658536585365853			
1980	Michael Cooper			9.428571428571429			
1980	Michael Wiley			5.428571428571429			
1980	Micheal Ray Richardson			16.246913580246915			
1980	Mickey Johnson			12.379310344827585			
1980	Mike Bantom			13.974358974358974			
1980	Mike Bratz			10.0125			
1980	Mike Dunleavy	3.1666666666666665	0.16666666666666666	10.148936170212766	2.3333333333333335	0.3333333333333333	2.0
1980	Mike Evans			4.662162162162162			
1980	Mike Gale			4.7375			
1980	Mike Glenn			8.130952380952381			
1980	Mike Gminski			13.160714285714286			
1980	Mike Harper			2.7142857142857144			
1980	Mike Mitchell			24.419753086419753			
1980	Mike Newlin			21.367088607594937			
1980	Mike Niles			2.5			
1980	Mike O'Koren			11.012658227848101			
1980	Mike Woodson			4.626506024096385			
1980	Mitch Kupchak			12.487804878048781			
1980	Monti Davis			11.076923076923077			
1980	Moses Malone	1.8571428571428572	2.1666666666666665	27.564356435643564	15.666666666666666	0.8333333333333334	2.0
1980	Mychal Thompson			17.317073170731707			
1980	Myles Patrick			1.6666666666666667			
1980	Nate Archibald	6.142857142857143	0.0	14.15625	1.1666666666666667	0.6666666666666666	2.6666666666666665
1980	Norm Nixon	12.0		17.170731707317074			
1980	Norman Black			2.6666666666666665			
1980	Ollie Johnson			4.333333333333333			
1980	Ollie Mack			9.784615384615385			
1980	Otis Birdsong			23.70886075949367			
1980	Pat Cummings			7.6455696202531644			
1980	Paul Griffin			6.056179775280899			
1980	Paul Mokeski			7.1			
1980	Paul Westphal			16.694444444444443			
1980	Phil Chenier			3.625			
1980	Phil Ford			16.760563380281692			
1980	Phil Hubbard			14.5125			
1980	Phil Smith			16.82894736842105			
1980	Purvis Short			16.063291139240505			
1980	Quinn Buckner			12.954545454545455			
1980	Ralph Drollinger			2.5			
1980	Randy Smith			14.45679012345679			
1980	Ray Williams			19.790123456790123			
1980	Reggie Carter			2.7704918032786887			
1980	Reggie Johnson			10.383720930232558			
1980	Reggie King			15.90625			
1980	Reggie Theus			18.954545454545453			
1980	Rich Kelley			6.7727272727272725			
1980	Richard Washington			10.0			
1980	Rick Mahorn			4.788461538461538			
1980	Rick Robey	0.3333333333333333	0.16666666666666666	8.387755102040817	3.6666666666666665	0.0	1.1666666666666667
1980	Rickey Brown			4.232558139534884			
1980	Rickey Green			8.97872340425532			
1980	Ricky Sobers			13.467532467532468			
1980	Robert Parish	1.0	2.0	18.336734693877553	7.666666666666667	1.1666666666666667	3.1666666666666665
1980	Robert Reid	3.1666666666666665	0.8333333333333334	15.922330097087379	7.5	2.0	2.0
1980	Roger Phegley			14.518518518518519			
1980	Ron Boone			7.8076923076923075			
1980	Ron Brewer			8.804878048780488			
1980	Ron Davis			5.84375			
1980	Ron Lee			4.209876543209877			
1980	Ron Valentine			3.4782608695652173			
1980	Ronnie Lester			3.769230769230769			
1980	Rory Sparrow			3.7333333333333334			
1980	Roylee Hamilton			3.0			
1980	Rudy Tomjanovich	0.0	0.0	10.15	1.3333333333333333	0.0	0.3333333333333333
1980	Rudy White			3.8125			
1980	Sam Lacey			7.391752577319588			
1980	Sam Pellom			5.883116883116883			
1980	Sam Worthen			3.6153846153846154			
1980	Scott Lloyd			8.833333333333334			
1980	Scott May			7.031746031746032			
1980	Scott Wedman			19.1875			
1980	Sidney Moncrief			14.011627906976743			
1980	Sidney Wicks			6.653061224489796			
1980	Sly Williams			13.159420289855072			
1980	Sonny Parker			6.611111111111111			
